,EN,TI,TI_tokenized,EN_tokenized
997,"Let us arise, and go up to Bethel. I will make there an altar to God, who answered me in the day of my distress, and was with me in the way which I went.""",ንተንስእ፡ ናብ ቤት-ኤል ድማ ንደይብ፡ ኣብኣ ኸኣ ነቲ ብመዓልቲ ጸበባይ ዝሰምዓንን፡ ኣብ ዝኸድክዎ መገዲ ምሳይ ዝነበረን ኣምላኽ መሰውኢ ኽገብር እየ፡ በሎም።,"['ንተንስእ', 'ናብ', 'ቤት-ኤል', 'ድማ', 'ንደይብ', 'ኣብኣ', 'ኸኣ', 'ነቲ', 'ብመዓልቲ', 'ጸበባይ', 'ዝሰምዓንን', 'ኣብ', 'ዝኸድክዎ', 'መገዲ', 'ምሳይ', 'ዝነበረን', 'ኣምላኽ', 'መሰውኢ', 'ኽገብር', 'እየ', 'በሎም']","['let', 'us', 'arise', 'and', 'go', 'up', 'to', 'bethel', 'i', 'will', 'make', 'there', 'an', 'altar', 'to', 'god', 'who', 'answered', 'me', 'in', 'the', 'day', 'of', 'my', 'distress', 'and', 'was', 'with', 'me', 'in', 'the', 'way', 'which', 'i', 'went.""']"
998,"They gave to Jacob all the foreign gods which were in their hands, and the rings which were in their ears; and Jacob hid them under the oak which was by Shechem.",ኣብ ኢዶም ዝነበሩ ዅሎም ጓኖት ኣማልኽትን ኣብ ኣእዛኖም ዝነበረ ቐላብትን ንያእቆብ ሀብዎ። ያእቆብ ድማ ኣብ ትሕቲ እቲ ኣብ ጥቓ ሴኬም ዘሎ ድዋ ሐብኦ።,"['ኣብ', 'ኢዶም', 'ዝነበሩ', 'ዅሎም', 'ጓኖት', 'ኣማልኽትን', 'ኣብ', 'ኣእዛኖም', 'ዝነበረ', 'ቐላብትን', 'ንያእቆብ', 'ሀብዎ', 'ያእቆብ', 'ድማ', 'ኣብ', 'ትሕቲ', 'እቲ', 'ኣብ', 'ጥቓ', 'ሴኬም', 'ዘሎ', 'ድዋ', 'ሐብኦ']","['they', 'gave', 'to', 'jacob', 'all', 'the', 'foreign', 'gods', 'which', 'were', 'in', 'their', 'hands', 'and', 'the', 'rings', 'which', 'were', 'in', 'their', 'ears', 'and', 'jacob', 'hid', 'them', 'under', 'the', 'oak', 'which', 'was', 'by', 'shechem']"
999,"They traveled, and a terror of God was on the cities that were around them, and they didn''t pursue the sons of Jacob.",ተጓዕዙ ኸኣ። ኣብተን ኣብ ዙርያኦም ዝነበራ ኸተማታት ድማ ዓብዪ ፍርሃት ኣምላኽ ኰነ እሞ፡ ንደቂ ያእቆብ ኣይሰጐጕዎምን።,"['ተጓዕዙ', 'ኸኣ', 'ኣብተን', 'ኣብ', 'ዙርያኦም', 'ዝነበራ', 'ኸተማታት', 'ድማ', 'ዓብዪ', 'ፍርሃት', 'ኣምላኽ', 'ኰነ', 'እሞ', 'ንደቂ', 'ያእቆብ', 'ኣይሰጐጕዎምን']","['they', 'traveled', 'and', 'a', 'terror', 'of', 'god', 'was', 'on', 'the', 'cities', 'that', 'were', 'around', 'them', 'and', 'they', ""didn''t"", 'pursue', 'the', 'sons', 'of', 'jacob']"
1000,"So Jacob came to Luz (that is, Bethel), which is in the land of Canaan, he and all the people who were with him.",ያእቆብን እቲ ምስኡ ዝነበረ ዅሉ ህዝብን ናብታ ኣብ ምድሪ ኸነኣን ዘላ ሉዝ መጹ፡ ንሳ ኸኣ ቤት-ኤል እያ፡,"['ያእቆብን', 'እቲ', 'ምስኡ', 'ዝነበረ', 'ዅሉ', 'ህዝብን', 'ናብታ', 'ኣብ', 'ምድሪ', 'ኸነኣን', 'ዘላ', 'ሉዝ', 'መጹ', 'ንሳ', 'ኸኣ', 'ቤት-ኤል', 'እያ']","['so', 'jacob', 'came', 'to', 'luz', '(that', 'is', 'bethel)', 'which', 'is', 'in', 'the', 'land', 'of', 'canaan', 'he', 'and', 'all', 'the', 'people', 'who', 'were', 'with', 'him']"
1001,"He built an altar there, and called the place El Beth El; because there God was revealed to him, when he fled from the face of his brother.",ኣብኣ ድማ መሰውኢ ነደቐ። እቲ ኻብ ቅድሚ ሓዉ ኺሀድም ከሎ፡ ኣምላኽ ኣብኣ ስለ እተገልጸሉ፡ ነታ ቦታ ኤል-ቤት-ኤል ኣውጽኣላ።,"['ኣብኣ', 'ድማ', 'መሰውኢ', 'ነደቐ', 'እቲ', 'ኻብ', 'ቅድሚ', 'ሓዉ', 'ኺሀድም', 'ከሎ', 'ኣምላኽ', 'ኣብኣ', 'ስለ', 'እተገልጸሉ', 'ነታ', 'ቦታ', 'ኤል-ቤት-ኤል', 'ኣውጽኣላ']","['he', 'built', 'an', 'altar', 'there', 'and', 'called', 'the', 'place', 'el', 'beth', 'el', 'because', 'there', 'god', 'was', 'revealed', 'to', 'him', 'when', 'he', 'fled', 'from', 'the', 'face', 'of', 'his', 'brother']"
1002,"Deborah, Rebekah''s nurse, died, and she was buried below Bethel under the oak; and the name of it was called Allon Bacuth.",ዲቦራ መጕዚት ርብቃ ሞተት፡ ኣብ ትሕቲ ቤት-ኤል፡ ኣብ ትሕቲ እቲ ድዋ ድማ ተቐብረት። ስሙ ኸኣ ድዋ ብኽያት ተባህለ።,"['ዲቦራ', 'መጕዚት', 'ርብቃ', 'ሞተት', 'ኣብ', 'ትሕቲ', 'ቤት-ኤል', 'ኣብ', 'ትሕቲ', 'እቲ', 'ድዋ', 'ድማ', 'ተቐብረት', 'ስሙ', 'ኸኣ', 'ድዋ', 'ብኽያት', 'ተባህለ']","['deborah', ""rebekah''s"", 'nurse', 'died', 'and', 'she', 'was', 'buried', 'below', 'bethel', 'under', 'the', 'oak', 'and', 'the', 'name', 'of', 'it', 'was', 'called', 'allon', 'bacuth']"
1003,"God appeared to Jacob again, when he came from Paddan Aram, and blessed him.",ያእቆብ ካብ ጵዳን-ኣራም ምስ መጸ ድማ፡ ኣምላኽ ከም ብሓድሽ ተራእዮ፡ ባረኾ ኸኣ።,"['ያእቆብ', 'ካብ', 'ጵዳን-ኣራም', 'ምስ', 'መጸ', 'ድማ', 'ኣምላኽ', 'ከም', 'ብሓድሽ', 'ተራእዮ', 'ባረኾ', 'ኸኣ']","['god', 'appeared', 'to', 'jacob', 'again', 'when', 'he', 'came', 'from', 'paddan', 'aram', 'and', 'blessed', 'him']"
1004,"God said to him, ""Your name is Jacob. Your name shall not be Jacob any more, but your name will be Israel."" He named him Israel.",ኣምላኽ ድማ፡ ስምካ ያእቆብ እዩ፡ ድሕሪ ደጊምሲ ስምካ ያእቆብ ኣይብሀልን፡ ስምካ እስራኤል ደኣ ኪኸውን እዩ፡ በሎ። ስሙ ኸኣ እስራኤል ኣውጽኣሉ።,"['ኣምላኽ', 'ድማ', 'ስምካ', 'ያእቆብ', 'እዩ', 'ድሕሪ', 'ደጊምሲ', 'ስምካ', 'ያእቆብ', 'ኣይብሀልን', 'ስምካ', 'እስራኤል', 'ደኣ', 'ኪኸውን', 'እዩ', 'በሎ', 'ስሙ', 'ኸኣ', 'እስራኤል', 'ኣውጽኣሉ']","['god', 'said', 'to', 'him', '""your', 'name', 'is', 'jacob', 'your', 'name', 'shall', 'not', 'be', 'jacob', 'any', 'more', 'but', 'your', 'name', 'will', 'be', 'israel.""', 'he', 'named', 'him', 'israel']"
1005,"God said to him, ""I am God Almighty. Be fruitful and multiply. A nation and a company of nations will be from you, and kings will come out of your body.",ኣምላኽ ድማ፡ ኣነ እቲ ዅሉ ዝኽእል ኣምላኽ እየ። ፍረን ብዛሕን፡ ህዝብን ብዝሒ ህዝብታትን ካባኻ ኺወጹ እዩም፡ ነገስታት ከኣ ካብ ሕቜኻ ኪወጹ እዮም።,"['ኣምላኽ', 'ድማ', 'ኣነ', 'እቲ', 'ዅሉ', 'ዝኽእል', 'ኣምላኽ', 'እየ', 'ፍረን', 'ብዛሕን', 'ህዝብን', 'ብዝሒ', 'ህዝብታትን', 'ካባኻ', 'ኺወጹ', 'እዩም', 'ነገስታት', 'ከኣ', 'ካብ', 'ሕቜኻ', 'ኪወጹ', 'እዮም']","['god', 'said', 'to', 'him', '""i', 'am', 'god', 'almighty', 'be', 'fruitful', 'and', 'multiply', 'a', 'nation', 'and', 'a', 'company', 'of', 'nations', 'will', 'be', 'from', 'you', 'and', 'kings', 'will', 'come', 'out', 'of', 'your', 'body']"
1006,"The land which I gave to Abraham and Isaac, I will give it to you, and to your seed after you will I give the land.""",እዛ ንኣብርሃምን ንይስሃቅን ዝሀብክዎም ምድሪ ንኣኻ ኽህበካ እየ። ብድሕሬኻ ድማ እታ ምድሪ ንዘርእኻ ኽህቦ እየ፡ በሎ።,"['እዛ', 'ንኣብርሃምን', 'ንይስሃቅን', 'ዝሀብክዎም', 'ምድሪ', 'ንኣኻ', 'ኽህበካ', 'እየ', 'ብድሕሬኻ', 'ድማ', 'እታ', 'ምድሪ', 'ንዘርእኻ', 'ኽህቦ', 'እየ', 'በሎ']","['the', 'land', 'which', 'i', 'gave', 'to', 'abraham', 'and', 'isaac', 'i', 'will', 'give', 'it', 'to', 'you', 'and', 'to', 'your', 'seed', 'after', 'you', 'will', 'i', 'give', 'the', 'land.""']"
1007,God went up from him in the place where he spoke with him.,ኣምላኽ ድማ ካብታ ምስኡ እተዛረበላ ቦታ ኻብኣ ደየበ።,"['ኣምላኽ', 'ድማ', 'ካብታ', 'ምስኡ', 'እተዛረበላ', 'ቦታ', 'ኻብኣ', 'ደየበ']","['god', 'went', 'up', 'from', 'him', 'in', 'the', 'place', 'where', 'he', 'spoke', 'with', 'him']"
1008,"Jacob set up a pillar in the place where he spoke with him, a pillar of stone. He poured out a drink offering on it, and poured oil on it.",ያእቆብ ከኣ ኣብታ ምስኡ እተዛረበላ ቦታ ሓወልቲ፡ ሓወልቲ እምኒ፡ ተኸለ። ኣብኣ ድማ መስዋእቲ መስተ ኸዐወ፡ ኣብ ልዕሊኡውን ዘይቲ ኸዐወ።,"['ያእቆብ', 'ከኣ', 'ኣብታ', 'ምስኡ', 'እተዛረበላ', 'ቦታ', 'ሓወልቲ', 'ሓወልቲ', 'እምኒ', 'ተኸለ', 'ኣብኣ', 'ድማ', 'መስዋእቲ', 'መስተ', 'ኸዐወ', 'ኣብ', 'ልዕሊኡውን', 'ዘይቲ', 'ኸዐወ']","['jacob', 'set', 'up', 'a', 'pillar', 'in', 'the', 'place', 'where', 'he', 'spoke', 'with', 'him', 'a', 'pillar', 'of', 'stone', 'he', 'poured', 'out', 'a', 'drink', 'offering', 'on', 'it', 'and', 'poured', 'oil', 'on', 'it']"
1009,"Jacob called the name of the place where God spoke with him ""Bethel.""",ያእቆብ ከኣ ነታ ኣምላኽ ኣብኣ ምስኡ እተዛረበላ ቦታ ስማ ቤት-ኤል ኣውጽኣላ።,"['ያእቆብ', 'ከኣ', 'ነታ', 'ኣምላኽ', 'ኣብኣ', 'ምስኡ', 'እተዛረበላ', 'ቦታ', 'ስማ', 'ቤት-ኤል', 'ኣውጽኣላ']","['jacob', 'called', 'the', 'name', 'of', 'the', 'place', 'where', 'god', 'spoke', 'with', 'him', '""bethel.""']"
1010,"They traveled from Bethel. There was still some distance to come to Ephrath, and Rachel travailed. She had hard labor.",ካብ ቤት-ኤል ድማ ተላዕሉ። ንኤፍራታ ኺበጽሑ ገና፡ ገለ መገዲ ተሪፍዎም ከሎ፡ ራሄል ወለደት። ክትወልድ ከላ ድማ፡ ጻዕሪ በርትዓ።,"['ካብ', 'ቤት-ኤል', 'ድማ', 'ተላዕሉ', 'ንኤፍራታ', 'ኺበጽሑ', 'ገና', 'ገለ', 'መገዲ', 'ተሪፍዎም', 'ከሎ', 'ራሄል', 'ወለደት', 'ክትወልድ', 'ከላ', 'ድማ', 'ጻዕሪ', 'በርትዓ']","['they', 'traveled', 'from', 'bethel', 'there', 'was', 'still', 'some', 'distance', 'to', 'come', 'to', 'ephrath', 'and', 'rachel', 'travailed', 'she', 'had', 'hard', 'labor']"
1011,"When she was in hard labor, the midwife said to her, ""Don''t be afraid, for now you will have another son.""",ኰነ ኸኣ፡ ብሕርሳ ኽትጽዐር ከላ፡ እታ መሕረሲት፡ ሕጂ ድማ ወዲ ረኺብኪ ኢኺ እሞ፡ ኣይትፍርሂ፡ በለታ።,"['ኰነ', 'ኸኣ', 'ብሕርሳ', 'ኽትጽዐር', 'ከላ', 'እታ', 'መሕረሲት', 'ሕጂ', 'ድማ', 'ወዲ', 'ረኺብኪ', 'ኢኺ', 'እሞ', 'ኣይትፍርሂ', 'በለታ']","['when', 'she', 'was', 'in', 'hard', 'labor', 'the', 'midwife', 'said', 'to', 'her', '""don\'\'t', 'be', 'afraid', 'for', 'now', 'you', 'will', 'have', 'another', 'son.""']"
1012,"It happened, as her soul was departing (for she died), that she named him Benoni, but his father named him Benjamin.{""Benjamin"" means ""son of my right hand.""}",ኰነ ኸኣ፡ ክትመውት፡ ነፍሳ ኽትወጽእ ከላ ድማ፡ ስሙ ቤን-ኦኒ ኣውጽኣትሉ። ኣቦኡ ግና ብንያም ኣውጽኣሉ።,"['ኰነ', 'ኸኣ', 'ክትመውት', 'ነፍሳ', 'ኽትወጽእ', 'ከላ', 'ድማ', 'ስሙ', 'ቤን-ኦኒ', 'ኣውጽኣትሉ', 'ኣቦኡ', 'ግና', 'ብንያም', 'ኣውጽኣሉ']","['it', 'happened', 'as', 'her', 'soul', 'was', 'departing', '(for', 'she', 'died)', 'that', 'she', 'named', 'him', 'benoni', 'but', 'his', 'father', 'named', 'him', 'benjamin.{""benjamin""', 'means', '""son', 'of', 'my', 'right', 'hand.""}']"
1013,"Rachel died, and was buried in the way to Ephrath (the same is Bethlehem).",ራሄል ከኣ ሞተት፡ ኣብ መገዲ ኤፍራታ ድማ ተቐብረት፡ ንሳ ቤት-ልሄም እያ።,"['ራሄል', 'ከኣ', 'ሞተት', 'ኣብ', 'መገዲ', 'ኤፍራታ', 'ድማ', 'ተቐብረት', 'ንሳ', 'ቤት-ልሄም', 'እያ']","['rachel', 'died', 'and', 'was', 'buried', 'in', 'the', 'way', 'to', 'ephrath', '(the', 'same', 'is', 'bethlehem)']"
1014,Jacob set up a pillar on her grave. The same is the Pillar of Rachel''s grave to this day.,ያእቆብ ድማ ኣብ መቓብራ ሓወልቲ ተኸለ፡ ንሱ እቲ ኽሳዕ ሎሚ ዘሎ ሓወልቲ መቓብር ራሄል እዩ።,"['ያእቆብ', 'ድማ', 'ኣብ', 'መቓብራ', 'ሓወልቲ', 'ተኸለ', 'ንሱ', 'እቲ', 'ኽሳዕ', 'ሎሚ', 'ዘሎ', 'ሓወልቲ', 'መቓብር', 'ራሄል', 'እዩ']","['jacob', 'set', 'up', 'a', 'pillar', 'on', 'her', 'grave', 'the', 'same', 'is', 'the', 'pillar', 'of', ""rachel''s"", 'grave', 'to', 'this', 'day']"
1015,"Israel traveled, and spread his tent beyond the tower of Eder.",እስራኤል ከኣ ካብኡ ተላዒሉ ድንኳኑ ኣብ ክንየው ግምቢ ኤደር ተኸለ።,"['እስራኤል', 'ከኣ', 'ካብኡ', 'ተላዒሉ', 'ድንኳኑ', 'ኣብ', 'ክንየው', 'ግምቢ', 'ኤደር', 'ተኸለ']","['israel', 'traveled', 'and', 'spread', 'his', 'tent', 'beyond', 'the', 'tower', 'of', 'eder']"
1016,"It happened, while Israel lived in that land, that Reuben went and lay with Bilhah, his father''s concubine, and Israel heard of it. Now the sons of Jacob were twelve.",ኰነ ድማ፡ እስራኤል ኣብኡ ኣብታ ምድሪ እቲኣ ተቐሚጡ ኸሎ፡ ሮቤል ከይዱ ምስ ቢልሃ፡ ሰበይቲ ወሰን ኣቦኡ ደቀሰ። እስራኤል ድማ ሰምዔ። ኣወዳት ያእቆብ ከኣ ዓሰርተው ክልተ ነበሩ።,"['ኰነ', 'ድማ', 'እስራኤል', 'ኣብኡ', 'ኣብታ', 'ምድሪ', 'እቲኣ', 'ተቐሚጡ', 'ኸሎ', 'ሮቤል', 'ከይዱ', 'ምስ', 'ቢልሃ', 'ሰበይቲ', 'ወሰን', 'ኣቦኡ', 'ደቀሰ', 'እስራኤል', 'ድማ', 'ሰምዔ', 'ኣወዳት', 'ያእቆብ', 'ከኣ', 'ዓሰርተው', 'ክልተ', 'ነበሩ']","['it', 'happened', 'while', 'israel', 'lived', 'in', 'that', 'land', 'that', 'reuben', 'went', 'and', 'lay', 'with', 'bilhah', 'his', ""father''s"", 'concubine', 'and', 'israel', 'heard', 'of', 'it', 'now', 'the', 'sons', 'of', 'jacob', 'were', 'twelve']"
1017,"The sons of Leah: Reuben (Jacob''s firstborn), Simeon, Levi, Judah, Issachar, and Zebulun.",ደቂ ልያ፡ ሮቤል በዅሪ ያእቆብን ስምኦንን ሌውን ይሁዳን ይሳኮርን ዛብሎንን።,"['ደቂ', 'ልያ', 'ሮቤል', 'በዅሪ', 'ያእቆብን', 'ስምኦንን', 'ሌውን', 'ይሁዳን', 'ይሳኮርን', 'ዛብሎንን']","['the', 'sons', 'of', 'leah', 'reuben', ""(jacob''s"", 'firstborn)', 'simeon', 'levi', 'judah', 'issachar', 'and', 'zebulun']"
1018,The sons of Rachel: Joseph and Benjamin.,ደቂ ራሄል፥ ዮሴፍን ብንያምን።,"['ደቂ', 'ራሄል', 'ዮሴፍን', 'ብንያምን']","['the', 'sons', 'of', 'rachel', 'joseph', 'and', 'benjamin']"
1019,The sons of Bilhah (Rachel''s handmaid): Dan and Naphtali.,ደቂ ቢልሃ ግዝእቲ ራሄል ድማ፡ ዳንን ንፍታሌምን።,"['ደቂ', 'ቢልሃ', 'ግዝእቲ', 'ራሄል', 'ድማ', 'ዳንን', 'ንፍታሌምን']","['the', 'sons', 'of', 'bilhah', ""(rachel''s"", 'handmaid)', 'dan', 'and', 'naphtali']"
1020,"The sons of Zilpah (Leah''s handmaid): Gad and Asher. These are the sons of Jacob, who were born to him in Paddan Aram.",ደቂ ዚልጳ ግዝእቲ ልያ ኸኣ፡ ጋድን ኣሴርን፡ እዚኣቶም ኣብ ጳዳን-ኣራም እተወልዱሉ ደቂ ያእቆብ እዮም።,"['ደቂ', 'ዚልጳ', 'ግዝእቲ', 'ልያ', 'ኸኣ', 'ጋድን', 'ኣሴርን', 'እዚኣቶም', 'ኣብ', 'ጳዳን-ኣራም', 'እተወልዱሉ', 'ደቂ', 'ያእቆብ', 'እዮም']","['the', 'sons', 'of', 'zilpah', ""(leah''s"", 'handmaid)', 'gad', 'and', 'asher', 'these', 'are', 'the', 'sons', 'of', 'jacob', 'who', 'were', 'born', 'to', 'him', 'in', 'paddan', 'aram']"
1021,"Jacob came to Isaac his father, to Mamre, to Kiriath Arba (which is Hebron), where Abraham and Isaac lived as foreigners.",ያእቆብ ድማ ናብ ኣቦኡ ይስሃቅ ናብ መምሬ ኣብ ቅርያት-ኣርባዕ መጸ። ንሳ እታ ኣብርሃምን ይስሃቅን ተሰዲዶምዋ ዝነበሩ ኬብሮን እያ።,"['ያእቆብ', 'ድማ', 'ናብ', 'ኣቦኡ', 'ይስሃቅ', 'ናብ', 'መምሬ', 'ኣብ', 'ቅርያት-ኣርባዕ', 'መጸ', 'ንሳ', 'እታ', 'ኣብርሃምን', 'ይስሃቅን', 'ተሰዲዶምዋ', 'ዝነበሩ', 'ኬብሮን', 'እያ']","['jacob', 'came', 'to', 'isaac', 'his', 'father', 'to', 'mamre', 'to', 'kiriath', 'arba', '(which', 'is', 'hebron)', 'where', 'abraham', 'and', 'isaac', 'lived', 'as', 'foreigners']"
1022,The days of Isaac were one hundred eighty years.,ዕድመ ይስሃቅ ከኣ ሚእትን ስማንያን ዓመት ኰነ።,"['ዕድመ', 'ይስሃቅ', 'ከኣ', 'ሚእትን', 'ስማንያን', 'ዓመት', 'ኰነ']","['the', 'days', 'of', 'isaac', 'were', 'one', 'hundred', 'eighty', 'years']"
1023,"Isaac gave up the spirit, and died, and was gathered to his people, old and full of days. Esau and Jacob, his sons, buried him.",ይስሃቅ ድማ ትንፋሱ ወጸት እሞ ሞተ። ኣሪጉ ዕድመ ጸጊቡ ናብ ህዝቡ ተአከበ። ደቁ ኤሳውን ያእቆብን ከኣ ቀበርዎ።,"['ይስሃቅ', 'ድማ', 'ትንፋሱ', 'ወጸት', 'እሞ', 'ሞተ', 'ኣሪጉ', 'ዕድመ', 'ጸጊቡ', 'ናብ', 'ህዝቡ', 'ተአከበ', 'ደቁ', 'ኤሳውን', 'ያእቆብን', 'ከኣ', 'ቀበርዎ']","['isaac', 'gave', 'up', 'the', 'spirit', 'and', 'died', 'and', 'was', 'gathered', 'to', 'his', 'people', 'old', 'and', 'full', 'of', 'days', 'esau', 'and', 'jacob', 'his', 'sons', 'buried', 'him']"
1024,"Now this is the history of the generations of Esau (that is, Edom).",ወለዶ ኤሳው፡ ንሱ ድማ ኤዶም፡ እዚ እዩ።,"['ወለዶ', 'ኤሳው', 'ንሱ', 'ድማ', 'ኤዶም', 'እዚ', 'እዩ']","['now', 'this', 'is', 'the', 'history', 'of', 'the', 'generations', 'of', 'esau', '(that', 'is', 'edom)']"
1025,"Esau took his wives from the daughters of Canaan: Adah the daughter of Elon, the Hittite; and Oholibamah the daughter of Anah, the daughter of Zibeon, the Hivite;",ኤሳው እተን ኣንስቱ ኻብ ኣዋልድ ከነኣን፡ ዓዳ፡ ጓል ኤሎን ሔታውን ኦሆሊባማ ጓል ዓና ጓል ጺብዖን ሓዋዊን፡,"['ኤሳው', 'እተን', 'ኣንስቱ', 'ኻብ', 'ኣዋልድ', 'ከነኣን', 'ዓዳ', 'ጓል', 'ኤሎን', 'ሔታውን', 'ኦሆሊባማ', 'ጓል', 'ዓና', 'ጓል', 'ጺብዖን', 'ሓዋዊን']","['esau', 'took', 'his', 'wives', 'from', 'the', 'daughters', 'of', 'canaan', 'adah', 'the', 'daughter', 'of', 'elon', 'the', 'hittite', 'and', 'oholibamah', 'the', 'daughter', 'of', 'anah', 'the', 'daughter', 'of', 'zibeon', 'the', 'hivite']"
1026,"and Basemath, Ishmael''s daughter, sister of Nebaioth.",ባስማት፡ ጓል እስማኤል ሓብቲ ነባዮትን ወሰደ።,"['ባስማት', 'ጓል', 'እስማኤል', 'ሓብቲ', 'ነባዮትን', 'ወሰደ']","['and', 'basemath', ""ishmael''s"", 'daughter', 'sister', 'of', 'nebaioth']"
1027,Adah bore to Esau Eliphaz. Basemath bore Reuel.,ዓዳ ድማ ንኤሳው ኤሊፋዝ ወለደትሉ፡ ባስማት ከኣ ንራጉኤል ወለደት።,"['ዓዳ', 'ድማ', 'ንኤሳው', 'ኤሊፋዝ', 'ወለደትሉ', 'ባስማት', 'ከኣ', 'ንራጉኤል', 'ወለደት']","['adah', 'bore', 'to', 'esau', 'eliphaz', 'basemath', 'bore', 'reuel']"
1028,"Oholibamah bore Jeush, Jalam, and Korah. These are the sons of Esau, who were born to him in the land of Canaan.",ኦሆሊባማውን የዑስን ያዕላምን ቆራሕን ወለደት። እዚኣቶም ኣብ ምድሪ ኸነኣን እተወልዱሉ ደቂ ኤሳው እዮም።,"['ኦሆሊባማውን', 'የዑስን', 'ያዕላምን', 'ቆራሕን', 'ወለደት', 'እዚኣቶም', 'ኣብ', 'ምድሪ', 'ኸነኣን', 'እተወልዱሉ', 'ደቂ', 'ኤሳው', 'እዮም']","['oholibamah', 'bore', 'jeush', 'jalam', 'and', 'korah', 'these', 'are', 'the', 'sons', 'of', 'esau', 'who', 'were', 'born', 'to', 'him', 'in', 'the', 'land', 'of', 'canaan']"
1029,"Esau took his wives, his sons, his daughters, and all the members of his household, with his livestock, all his animals, and all his possessions, which he had gathered in the land of Canaan, and went into a land away from his brother Jacob.",ኤሳው ኣንስቱን ኣወዳቱን ኣዋልዱን ኵሉ ስድራ ቤቱን ማሉን ኵሉ እንስሳኡን ኣብ ምድሪ ኸንኣን ዘጥረዮ ዅሉ ገንዘቡን ወሰደ፡ ካብ ቅድሚ ያእቆብ ሓዉ ኸኣ ናብ ካልእ ምድሪ ኸደ።,"['ኤሳው', 'ኣንስቱን', 'ኣወዳቱን', 'ኣዋልዱን', 'ኵሉ', 'ስድራ', 'ቤቱን', 'ማሉን', 'ኵሉ', 'እንስሳኡን', 'ኣብ', 'ምድሪ', 'ኸንኣን', 'ዘጥረዮ', 'ዅሉ', 'ገንዘቡን', 'ወሰደ', 'ካብ', 'ቅድሚ', 'ያእቆብ', 'ሓዉ', 'ኸኣ', 'ናብ', 'ካልእ', 'ምድሪ', 'ኸደ']","['esau', 'took', 'his', 'wives', 'his', 'sons', 'his', 'daughters', 'and', 'all', 'the', 'members', 'of', 'his', 'household', 'with', 'his', 'livestock', 'all', 'his', 'animals', 'and', 'all', 'his', 'possessions', 'which', 'he', 'had', 'gathered', 'in', 'the', 'land', 'of', 'canaan', 'and', 'went', 'into', 'a', 'land', 'away', 'from', 'his', 'brother', 'jacob']"
1030,"For their substance was too great for them to dwell together, and the land of their travels couldn''t bear them because of their livestock.",ብሓደ ኸይቅመጡ እቲ ጥሪቶም በዚሑ ነበረ እሞ፡ ብምኽንያት ማሎም ድማ እታ ምድሪ ስደቶም ክትጾሮም ኣይከኣለትን።,"['ብሓደ', 'ኸይቅመጡ', 'እቲ', 'ጥሪቶም', 'በዚሑ', 'ነበረ', 'እሞ', 'ብምኽንያት', 'ማሎም', 'ድማ', 'እታ', 'ምድሪ', 'ስደቶም', 'ክትጾሮም', 'ኣይከኣለትን']","['for', 'their', 'substance', 'was', 'too', 'great', 'for', 'them', 'to', 'dwell', 'together', 'and', 'the', 'land', 'of', 'their', 'travels', ""couldn''t"", 'bear', 'them', 'because', 'of', 'their', 'livestock']"
1031,Esau lived in the hill country of Seir. Esau is Edom.,ኤሳው ከኣ ኣብ ከረን ስዒር ተቐመጠ። ኤሳው ኤዶም እዩ።,"['ኤሳው', 'ከኣ', 'ኣብ', 'ከረን', 'ስዒር', 'ተቐመጠ', 'ኤሳው', 'ኤዶም', 'እዩ']","['esau', 'lived', 'in', 'the', 'hill', 'country', 'of', 'seir', 'esau', 'is', 'edom']"
1032,This is the history of the generations of Esau the father of the Edomites in the hill country of Seir:,ወለዶ ኤሳው፡ ኣቦ ኤዶማውያን ኣብ ከረን ስዒር እዚ እዩ።,"['ወለዶ', 'ኤሳው', 'ኣቦ', 'ኤዶማውያን', 'ኣብ', 'ከረን', 'ስዒር', 'እዚ', 'እዩ']","['this', 'is', 'the', 'history', 'of', 'the', 'generations', 'of', 'esau', 'the', 'father', 'of', 'the', 'edomites', 'in', 'the', 'hill', 'country', 'of', 'seir']"
1033,"these are the names of Esau''s sons: Eliphaz, the son of Adah, the wife of Esau; and Reuel, the son of Basemath, the wife of Esau.",ስማት ደቂ ኤሳው እዚ እዩ፡ ኤሊፋዝ፡ ወዲ ዓዳ ሰበይቲ ኤሳው፡ራጉኤል፡ ወዲ ባስማት ሰበይቲ ኤሳው።,"['ስማት', 'ደቂ', 'ኤሳው', 'እዚ', 'እዩ', 'ኤሊፋዝ', 'ወዲ', 'ዓዳ', 'ሰበይቲ', 'ኤሳው፡ራጉኤል', 'ወዲ', 'ባስማት', 'ሰበይቲ', 'ኤሳው']","['these', 'are', 'the', 'names', 'of', ""esau''s"", 'sons', 'eliphaz', 'the', 'son', 'of', 'adah', 'the', 'wife', 'of', 'esau', 'and', 'reuel', 'the', 'son', 'of', 'basemath', 'the', 'wife', 'of', 'esau']"
